Index,Elapsed Time,Action,Latency
182,249,QueryFlight,249
183,246,QueryFlight,246
184,252,QueryFlight,252
185,246,List Bookings,246
186,244,logout,244
187,248,Login,248
188,246,View Profile Information,246
189,250,Update Customer,250
190,248,QueryFlight,248
191,251,QueryFlight,251
192,246,QueryFlight,246
193,248,QueryFlight,248
194,248,QueryFlight,248
195,245,List Bookings,245
196,245,logout,245
197,249,Login,249
198,246,QueryFlight,246
199,251,QueryFlight,251
200,249,QueryFlight,248
201,491,QueryFlight,491
202,246,QueryFlight,246
203,244,List Bookings,244
204,247,logout,247
205,245,Login,245
206,245,QueryFlight,245
207,248,QueryFlight,247
208,249,QueryFlight,249
209,248,QueryFlight,248
210,256,QueryFlight,256
211,247,List Bookings,247
212,246,logout,246
213,247,Login,247
214,247,QueryFlight,247
215,245,QueryFlight,245
216,246,QueryFlight,246
